category,url,title,price,discount,description,age_rating,genres,developer,release_date,review_score
action,https://store.steampowered.com/app/238960/Path_of_Exile/?snr=1_7_7_240_150_1,Path of Exile,Бесплатные,0%,"Вы - изгнанник, который пытается выжить в мрачном мире Рэкласта. Сражаясь за свою жизнь, вы накопите силу, которая поможет вам отомстить тем, кто обрёк вас на эту участь. Path of Exile - это онлайн Action RPG в тёмном фэнтэзийном мире. Игра полностью бесплатна и не имеет Pay-to-Win элементов.",Не указано,"Бесплатная игра, Тёмное фэнтези, Ролевой экшен, , Лут",Grinding Gear Games,23 окт. 2013 г.,86% положительных
action,https://store.steampowered.com/app/1030300/Hollow_Knight_Silksong/?snr=1_7_7_240_150_1,Hollow Knight: Silksong,710 руб.,0%,"Исследуйте огромное проклятое царство в Hollow Knight: Silksong! Открывайте его тайны, сражайтесь и боритесь за свою жизнь, поднимаясь к вершинам земель, где правят шёлк и песня.",Не указано,"Метроидвания, Сложная, Инди, Похожа на Dark Souls, ",Team Cherry,4 сен. 2025 г.,91% положительных
action,https://store.steampowered.com/app/2399830/ARK_Survival_Ascended/?snr=1_7_7_240_150_1,ARK: Survival Ascended,2110 руб.,-50%,"Арк переосмысливается с основания в этой технологии видеоигр с помощью Unreal Engine 5! Сформируйте племя, приручите и породу сотни уникальных динозавров и первобытных существ, исследуйте, создайте, строите, строите и пробитесь на вершину пищевой цепи. Ваш новый мир ждет!",Не указано,"Ранний доступ, Выживание, Открытый мир, , Динозавры",Studio Wildcard,26 окт. 2023 г.,65% положительных
action,https://store.steampowered.com/app/1203620/Enshrouded/?snr=1_7_7_240_150_1,Enshrouded,319 руб.,-20%,"Вы пламярожденный герой – последний уголек надежды для гибнущей расы. Пробудитесь от сна, одолейте ужасы тлетворного тумана и верните родине былую красоту. В этом ролевом экшене вам и другим игрокам (максимум 16) предстоит сообща исследовать мир, сражаться с суровыми боссами и строить огромные залы.",Не указано,"Открытый мир, Выживание, Строительство базы, , ",Keen Games GmbH,24 янв. 2024 г.,82% положительных
action,https://store.steampowered.com/app/1245620/ELDEN_RING/?snr=1_7_7_240_150_1,ELDEN RING,3599 руб.,0%,"НОВЫЙ ФЭНТЕЗИЙНЫЙ РОЛЕВОЙ БОЕВИК. Восстань, погасшая душа! Междуземье ждёт своего повелителя. Пусть благодать приведёт тебя к Кольцу Элден.",Не указано,"Похожа на Dark Souls, Открытый мир, Тёмное фэнтези, , ","FromSoftware, Inc.",25 фев. 2022 г.,93% положительных
action,https://store.steampowered.com/app/236390/War_Thunder/?snr=1_7_7_240_150_1,War Thunder,Бесплатные,0%,"War Thunder – самая масштабная бесплатная кроссплатформенная многопользовательская онлайн-игра, посвященная боевой технике самых разных войн и конфликтов – с начала XX века и до наших дней. Авиация, наземные силы и флот сражаются вместе в одном бою.",Не указано,"Бесплатная игра, Симулятор, Гонки на выживание, Бой, ",Gaijin Entertainment,15 авг. 2013 г.,75% положительных
action,https://store.steampowered.com/app/2183900/Warhammer_40000_Space_Marine_2/?snr=1_7_7_240_150_1,"Warhammer 40,000: Space Marine 2",3199 руб.,0%,"Обретите сверхчеловеческую мощь космодесантника. Пустите в ход смертоносные навыки и разрушительное оружие, чтобы истребить безжалостных тиранидов. Защитите Империум в ярких одиночных боях или многопользовательских режимах с видом от третьего лица.",Не указано,"Warhammer 40K, Экшен, Кооператив, , ",Saber Interactive,9 сен. 2024 г.,83% положительных
action,https://store.steampowered.com/app/284160/BeamNGdrive/?snr=1_7_7_240_150_1,BeamNG.drive,880 руб.,0%,"Основанный на физике мягких объектов автомобильный симулятор, способный практически на всё.",Не указано,"Симулятор, Вождение, Физика, Реализм, Разрушения",BeamNG,29 мая. 2015 г.,96% положительных
action,https://store.steampowered.com/app/739630/Phasmophobia/?snr=1_7_7_240_150_1,Phasmophobia,710 руб.,0%,Phasmophobia is a 4 player online co-op psychological horror. Paranormal activity is on the rise and it’s up to you and your team to use all the ghost-hunting equipment at your disposal in order to gather as much evidence as you can.,Не указано,"Хоррор, Сетевой кооператив, Для нескольких игроков, , ",Kinetic Games,18 сен. 2020 г.,91% положительных
action,https://store.steampowered.com/app/440/Team_Fortress_2/?snr=1_7_7_240_150_1,Team Fortress 2,Бесплатные,0%,"Девять классов с уникальными характерами откроют вам доступ ко множеству разнообразных тактик и навыков. Игра беспрестанно пополняется новыми режимами, картами, предметами и, самое главное, шляпами!",Не указано,"Бесплатная игра, Геройский шутер, Для нескольких игроков, , ",Valve,10 окт. 2007 г.,93% положительных
action,https://store.steampowered.com/app/2074920/The_First_Descendant/?snr=1_7_7_240_150_1,The First Descendant,Бесплатно,0%,The First Descendant is a third-person looter shooter powered by Unreal Engine 5. Become a Descendant. Fight for the survival of humanity. Descendants have unique abilities to tackle both solo and co-op missions. Up to 4 players use varied mechanics to defeat giant bosses. BE THE FIRST DESCENDANT!,Не указано,"Бесплатная игра, Сексуальный контент, Лутер-шутер, , ","NEXON Games Co., Ltd.",30 июн. 2024 г.,61% положительных
action,https://store.steampowered.com/app/1326470/Sons_Of_The_Forest/?snr=1_7_7_240_150_1,Sons Of The Forest,1100 руб.,0%,"Sent to find a missing billionaire on a remote island, you find yourself in a cannibal-infested hellscape. Craft, build, and struggle to survive, alone or with friends, in this terrifying new open-world survival horror simulator.",Не указано,"Выживание, Открытый мир, Для нескольких игроков, , ",Endnight Games Ltd,22 фев. 2024 г.,90% положительных
action,https://store.steampowered.com/app/1159690/Voidtrain/?snr=1_7_7_240_150_1,Voidtrain,424 руб.,-35%,"Станьте членом экипажа Межпространственного Экспресса! Откройте для себя мир, полный загадочных существ и локаций. Улучшайте и кастомизируйте свой поезд, собирайте новые материалы и создавайте новое оружие. Играйте в одиночку или онлайн до 4 человек.",Не указано,"Симулятор выживания и крафтинга в открытом мире, Кооператив, , , ",HypeTrain Digital,7 ноя. 2025 г.,71% положительных
strategy,https://store.steampowered.com/app/570/Dota_2/?snr=1_7_7_240_150_1,Dota 2,Бесплатно,0%,"Ежедневно миллионы игроков по всему миру сражаются от лица одного из более сотни героев Dota 2, и даже после тысячи часов в ней есть чему научиться. Благодаря регулярным обновлениям игра живёт своей жизнью: геймплей, возможности и герои постоянно преображаются.",Не указано,"Бесплатная игра, MOBA, Для нескольких игроков, , ",Valve,9 июл. 2013 г.,72% положительных
strategy,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_240_150_1,Counter-Strike 2,Бесплатные,0%,"Более двух десятилетий Counter-Strike служит примером первоклассной соревновательной игры, путь развития которой определяют миллионы игроков со всего мира. Теперь пришло время нового этапа — Counter-Strike 2.",Не указано,"Шутер от первого лица, Шутер, Для нескольких игроков, , ",Valve,21 авг. 2012 г.,81% положительных
strategy,https://store.steampowered.com/app/2592160/Dispatch/?snr=1_7_7_240_150_1,Dispatch,1100 руб.,0%,"""Dispatch"" — это комедия о рабочем месте супергероев, в которой ваш выбор имеет значение. Управляйте командой проблемных героев и решайте, кого отправить на экстренные вызовы по всему городу, одновременно балансируя офисную политику, личные отношения и собственный путь к становлению героем.",Не указано,"Решения с последствиями, Глубокий сюжет, Нагота, , ",AdHoc Studio,22 окт. 2025 г.,96% положительных
strategy,https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS/?snr=1_7_7_240_150_1,PUBG: BATTLEGROUNDS,Бесплатные,0%,"PUBG: BATTLEGROUNDS — культовый шутер, пробудивший интерес к жанру «королевская битва», теперь бесплатный! Высаживайтесь на разные карты, добывайте уникальное оружие и припасы и постарайтесь выжить в постоянно сужающейся зоне, где опасность подстерегает вас за каждым углом.",Не указано,"Выживание, Шутер, Королевская битва, , ",PUBG Corporation,21 дек. 2017 г.,69% положительных
strategy,https://store.steampowered.com/app/3450310/Europa_Universalis_V/?snr=1_7_7_240_150_1,Europa Universalis V,3319 руб.,0%,"Используйте войну, торговлю или дипломатию, чтобы претворить свои самые смелые амбиции и доминировать на протяжении пяти веков истории в новейшей версии Europa Universalis — флагманской исторической игры Paradox Interactive в жанре глобальной стратегии.",Не указано,"Управление ресурсами, Глобальная стратегия, 4X, , ",Paradox Tinto,4 ноя. 2025 г.,70% положительных
strategy,https://store.steampowered.com/app/1086940/Baldurs_Gate_3/?snr=1_7_7_240_150_1,Baldur's Gate 3,1999 руб.,0%,"Соберите отряд и вернитесь в Забытые Королевства. Вас ждет история о дружбе и предательстве, выживании и самопожертвовании, о сладком зове абсолютной власти.",Не указано,"Ролевая игра, Кастомизация персонажа, , Глубокий сюжет, ",Larian Studios,3 авг. 2023 г.,95% положительных
strategy,https://store.steampowered.com/app/1669000/Age_of_Wonders_4/?snr=1_7_7_240_150_1,Age of Wonders 4,2769 руб.,0%,Правьте волшебным королевством в Age of Wonders 4! Вас ждёт фирменное сочетание 4X-стратегии с пошаговыми тактическими сражениями.,Не указано,"Стратегия, Ролевая игра, 4X, Кастомизация персонажа, ",Triumph Studios,2 мая. 2023 г.,79% положительных
strategy,https://store.steampowered.com/app/1158310/Crusader_Kings_III/?snr=1_7_7_240_150_1,Crusader Kings III,2769 руб.,0%,"Любовь, война, интриги и величие. Определите наследие своего знатного рода в безграничной глобальной стратегии Crusader Kings III. Смерть — это только начало вашего пути по истории выбранной династии в этой полной неожиданностей и славы симуляции Средних веков.",Не указано,"Стратегия, Средневековье, Глобальная стратегия, , ",Paradox Development Studio,1 сен. 2020 г.,80% положительных
strategy,https://store.steampowered.com/app/1527950/Wartales/?snr=1_7_7_240_150_1,Wartales,480 руб.,-63%,"Wartales — ролевая игра с открытым миром, в которой вам предстоит вести отряд наемников к богатству в огромной средневековой вселенной. Исследуйте мир, нанимайте спутников, получайте награды и раскрывайте тайны гробниц древних!",Не указано,"Ролевая игра, Открытый мир, Пошаговая стратегия, , ",Shiro Games,12 апр. 2023 г.,78% положительных
strategy,https://store.steampowered.com/app/294100/RimWorld/?snr=1_7_7_240_150_1,RimWorld,1099 руб.,0%,"Научно-фантастический симулятор колонии с интеллектуальным AI-рассказчиком. Создаёт истории, моделируя психологию, экологию, стрельбу, ближний бой, климат, биомы, дипломатию, межличностные отношения, искусство, медицину, торговлю и многое другое.",Не указано,"Симулятор колонии, Строительство базы, Выживание, , ",Ludeon Studios,17 окт. 2018 г.,96% положительных
strategy,https://store.steampowered.com/app/427520/Factorio/?snr=1_7_7_240_150_1,Factorio,Factorio Demo,0%,"Factorio - это игра о создании автоматизированных фабрик по производству вещей все более возрастающей сложности, в пределах бесконечного 2D мира - Используйте свое воображение для проектирования фабрик, комбинируйте простые элементы в комплексные структуры и, наконец, защищайтесь от враждебных существ.",Не указано,"Автоматизация, Строительство базы, , Песочница, ",Wube Software LTD.,14 авг. 2020 г.,97% положительных
strategy,https://store.steampowered.com/app/1874880/Arma_Reforger/?snr=1_7_7_240_150_1,Arma Reforger,2690 руб.,0%,"Участвуйте в масштабных общевойсковых сражениях, создавайте миссии и управляйте ими в реальном времени, а также опробуйте неисчислимые модификации сообщества. Погрузитесь в эпоху холодной войны и испытайте самую реалистичную военную песочницу.",Не указано,"Военные действия, Симулятор, Шутер, Реализм, ",Bohemia Interactive,16 ноя. 2023 г.,69% положительных
strategy,https://store.steampowered.com/app/394360/Hearts_of_Iron_IV/?snr=1_7_7_240_150_1,Hearts of Iron IV,2769 руб.,0%,"Victory is at your fingertips! Your ability to lead your nation is your supreme weapon, the strategy game Hearts of Iron IV lets you take command of any nation in World War II; the most engaging conflict in world history.",Не указано,"Стратегия, Вторая мировая война, Глобальная стратегия, , ",Paradox Development Studio,6 июн. 2016 г.,87% положительных
strategy,https://store.steampowered.com/app/400750/Call_to_Arms__Gates_of_Hell_Ostfront/?snr=1_7_7_240_150_1,Call to Arms - Gates of Hell: Ostfront,300 руб.,-75%,"Call to Arms - Gates of Hell - реалистическая историческая стратегия про ВМВ. Примите на себя командование всех видов войск в одиночной и динамической кампании, кооперативе и мультиплеере - реиграбельность не имеет границ. Вы готовы погрузиться в пучину войны?",Не указано,"Вторая мировая война, Историческая, , Стратегия, ",Barbedwire Studios,11 июн. 2021 г.,83% положительных
strategy,https://store.steampowered.com/app/582660/Black_Desert/?snr=1_7_7_240_150_1,Black Desert,350 руб.,0%,"Played by over 20 million Adventurers - Black Desert Online is an open-world, action MMORPG. Experience intense, action-packed combat, battle massive world bosses, fight alongside friends to siege and conquer castles, and train in professions such as fishing, trading, crafting, cooking, and more!",Не указано,"Песочница, Ролевой экшен, Исследования, MMORPG, ",Pearl Abyss,26 июл. 2019 г.,70% положительных
strategy,https://store.steampowered.com/app/949230/Cities_Skylines_II/?snr=1_7_7_240_150_1,Cities: Skylines II,4979 руб.,-20%,Выстройте с нуля процветающий мегаполис в реалистичном симуляторе с живой экономикой и невероятно глубокой проработкой мира.,Не указано,"Градостроение, Симулятор, Строительство, Песочница, ",Colossal Order Ltd.,24 окт. 2023 г.,54% положительных
strategy,https://store.steampowered.com/app/3215050/Surviving_Mars_Relaunched/?snr=1_7_7_240_150_1,Surviving Mars: Relaunched,2199 руб.,0%,Фантастический строительный симулятор в новом обличье. Вам снова предстоит колонизировать Марс и выжить. Готовы? Марс ждет!,Не указано,"Симулятор, Стратегия, Симулятор колонии, , ",Haemimont Games,10 ноя. 2025 г.,69% положительных
strategy,https://store.steampowered.com/app/2870920/Restaurats/?snr=1_7_7_240_150_1,Restaurats,402 руб.,-25%,"Возглавь средневековый ресторан в команде с такими же крысами, как и ты! Готовьте еду, бросайте её в гостей, вытирайте напитки из-под скелетов! Стань легендарной поварской крысой, доказав оркам и вампирам, что самое вкусное мясо с кровью подают в вашем ресторане!",Не указано,"Кооператив, Кулинария, Для нескольких игроков, , ",toR Studio,7 ноя. 2025 г.,90% положительных
strategy,https://store.steampowered.com/app/648800/Raft/?snr=1_7_7_240_150_1,Raft,419 руб.,0%,"Raft™ throws you and your friends into an epic oceanic adventure! Alone or together, players battle to survive a perilous voyage across a vast sea! Gather debris, scavenge reefs and build your own floating home, but be wary of the man-eating sharks!",Не указано,"Выживание, Для нескольких игроков, , Кооператив, ",Redbeet Interactive,20 июн. 2022 г.,89% положительных
strategy,https://store.steampowered.com/app/2489330/Whiskerwood/?snr=1_7_7_240_150_1,Whiskerwood,799 руб.,-20%,"В этой градостроительной стратегии вам предстоит наладить жизнь трудолюбивых мышей под пятой, вернее, лапой пушистых сюзеренов. Вас ждет комплексное моделирование, сложные производственные цепочки и старая как мир грызня между кошками и мышами.",Не указано,"Стратегия, Симулятор, Строительство базы, , ",Minakata Dynamics,6 ноя. 2025 г.,91% положительных
strategy,https://store.steampowered.com/app/393380/Squad/?snr=1_7_7_240_150_1,Squad,1799 руб.,0%,"Squad — это тактический FPS, предлагающий аутентичный боевый опыт: реалистичные сражения, командная работа и коммуникация. Squad объединяет элементы аркадных шутеров и военого реализма в битвах на 100 игроков с участием техники и строительством укреплений.",Не указано,"Военные действия, Реализм, Шутер от первого лица, , ",Offworld,23 сен. 2020 г.,65% положительных
strategy,https://store.steampowered.com/app/436780/Tavern_Keeper/?snr=1_7_7_240_150_1,Tavern Keeper 🍻,"1015,20 руб.",-20%,"Встречайте Tavern Keeper 🍻 от создателей Game Dev Tycoon, уютно-хаотичный симулятор управления трактиром с мощной песочницей для дизайна и волшебной ролевой составляющей!",Не указано,"Ранний доступ, Симулятор, Менеджмент, Смешная, ",Greenheart Games 💚,3 ноя. 2025 г.,95% положительных
strategy,https://store.steampowered.com/app/526870/Satisfactory/?snr=1_7_7_240_150_1,Satisfactory,1300 руб.,0%,"Satisfactory — это игра от первого лица в открытом мире, вы которой вам нужно строить заводы, с упором на исследования и бои. Играйте в одиночестве или с друзьями, исследуйте незнакомую планету, возводите многоэтажные заводы и вступите в конвейерный рай!",Не указано,"Строительство базы, Автоматизация, Открытый мир, , ",Coffee Stain Studios,10 сен. 2024 г.,96% положительных
strategy,https://store.steampowered.com/app/761890/Albion_Online/?snr=1_7_7_240_150_1,Albion Online,Бесплатные,0%,"Albion Online - это MMORPG-песочница в фэнтезийном сеттинге, где присутствует управляемая игроками экономика, боевая система без привязки к классам и постоянные PvP-сражения.",Не указано,"MMORPG, Бесплатная игра, Открытый мир, ММО, ",Sandbox Interactive GmbH,17 июл. 2017 г.,72% положительных
strategy,https://store.steampowered.com/app/107410/Arma_3/?snr=1_7_7_240_150_1,Arma 3,2190 руб.,0%,"Испытайте вкус боевых действий в массовой военной игре. C более чем 20 видами техники и 40 видами оружия, различными режимами игры и безграничными возможностями создания контента, вы получаете наилучший реализм и разнообразие в Arma 3.",Не указано,"Военные действия, Экшен, Для нескольких игроков, , ",Bohemia Interactive,12 сен. 2013 г.,88% положительных
